House,Strongly disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree
House,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree
House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
House,Disagree,Disagree,Strongly agree,Neutral,Disagree,Disagree
House,Neutral,Neutral,Neutral,Agree,Neutral,Neutral
House,Agree,Neutral,Agree,Agree,Agree,Agree
House,Neutral,Neutral,Agree,Neutral,Neutral,Agree
House,Neutral,Neutral,Strongly agree,Agree,Agree,Agree
House,Agree,Neutral,Disagree,Neutral,Neutral,Neutral
Internet Cafe,Disagree,Disagree,Agree,Neutral,Disagree,Neutral
House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
House,Agree,Neutral,Strongly agree,Agree,Agree,Strongly Agree
House,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree
House,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree
House,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree
Friend's Home,Agree,Agree,Agree,Agree,Agree,Agree
House,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree
House,Neutral,Neutral,Agree,Neutral,Neutral,Disagree
House,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
House,Neutral,Neutral,Agree,Agree,Neutral,Neutral
Friend's Home,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly Agree
Friend's Home,Neutral,Disagree,Agree,Disagree,Agree,Neutral
House,Neutral,Disagree,Agree,Neutral,Neutral,Agree
House,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly Disagree
House,Neutral,Disagree,Agree,Neutral,Disagree,Disagree
House,Neutral,Agree,Agree,Neutral,Agree,Agree
House,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly Agree
House,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree
House,Agree,Agree,Agree,Agree,Neutral,Agree
House,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree
House,Agree,Agree,Agree,Agree,Agree,Agree
House,Agree,Agree,Agree,Agree,Agree,Agree
House,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Agree
House,Disagree,Disagree,Strongly agree,Agree,Neutral,Agree
